Pclass,Age,SibSp,Parch,Fare,IsMale,EmbarkedC,EmbarkedQ,EmbarkedS,Survived
1,21,0,0,77.958,0,0,0,1,1
3,26,0,0,7.896,1,0,0,1,0
3,30.626,0,0,7.733,1,0,1,0,0
1,80,0,0,30,1,0,0,1,1
3,51,0,0,7.054,1,0,0,1,0
1,32,0,0,30.5,1,1,0,0,1
1,30.626,0,0,0,1,0,0,1,0
3,9,3,2,27.9,0,0,0,1,0
2,28,0,0,13,0,0,0,1,1
3,32,0,0,7.925,1,0,0,1,0
2,31,1,1,26.25,1,0,0,1,0
3,41,0,5,39.688,0,0,0,1,0
3,30.626,1,0,16.1,1,0,0,1,0
3,20,0,0,7.854,1,0,0,1,0
1,24,0,0,69.3,0,1,0,0,1
3,2,3,2,27.9,0,0,0,1,0
3,28.344,0,0,56.496,1,0,0,1,1
3,0.75,2,1,19.258,0,1,0,0,1
1,48,1,0,76.729,1,1,0,0,1
3,19,0,0,7.896,1,0,0,1,0
1,56,0,0,35.5,1,1,0,0,1
3,30.626,0,0,7.55,1,0,0,1,0
3,23,0,0,7.55,0,0,0,1,1
3,30.626,0,0,7.896,1,0,0,1,0
2,18,0,1,23,0,0,0,1,1
3,21,0,0,8.433,1,0,0,1,0
3,28.344,0,0,7.829,0,0,1,0,1
3,18,0,0,6.75,0,0,1,0,0
2,24,2,0,73.5,1,0,0,1,0
3,30.626,0,0,7.896,1,0,0,1,0
3,32,1,1,15.5,0,0,1,0,0
2,23,0,0,13,1,0,0,1,0
1,58,0,2,113.275,1,1,0,0,0
1,50,2,0,133.65,1,0,0,1,1
3,40,0,0,7.225,1,1,0,0,0
1,47,0,0,25.587,1,0,0,1,0
3,36,0,0,7.496,1,0,0,1,0
3,20,1,0,7.925,1,0,0,1,1
2,32,2,0,73.5,1,0,0,1,0
2,25,0,0,13,1,0,0,1,0
3,30.626,0,0,7.775,1,0,0,1,0
3,43,0,0,8.05,1,0,0,1,0
1,28.344,1,0,52,0,0,0,1,1
2,40,1,1,39,0,0,0,1,1
1,31,1,0,52,1,0,0,1,0
2,70,0,0,10.5,1,0,0,1,0
2,31,0,0,13,1,0,0,1,1
2,30.626,0,0,0,1,0,0,1,0
3,18,0,0,7.775,1,0,0,1,0
3,24.5,0,0,8.05,1,0,0,1,0
3,18,0,0,9.842,0,0,0,1,1
3,43,1,6,46.9,0,0,0,1,0
1,36,0,1,512.329,1,1,0,0,1
3,30.626,0,0,8.137,0,0,1,0,0
1,27,0,0,76.729,1,1,0,0,1
3,20,0,0,9.225,1,0,0,1,0
3,14,5,2,46.9,1,0,0,1,0
2,60,1,1,39,1,0,0,1,0
2,25,1,2,41.579,1,1,0,0,0
3,14,4,1,39.688,1,0,0,1,0
3,19,0,0,10.171,1,0,0,1,0
3,18,0,0,7.796,1,0,0,1,0
1,15,0,1,211.338,0,0,0,1,1
1,31,1,0,57,1,0,0,1,1
3,4,0,1,13.417,0,1,0,0,1
3,28.344,0,0,56.496,1,0,0,1,1
3,25,0,0,7.225,1,1,0,0,0
1,60,0,0,26.55,1,0,0,1,0
2,52,0,0,13.5,1,0,0,1,0
3,44,0,0,8.05,1,0,0,1,0
3,28.344,0,0,7.733,0,0,1,0,1
1,49,1,1,110.883,1,1,0,0,0
3,42,0,0,7.65,1,0,0,1,0
1,18,1,0,227.525,0,1,0,0,1
1,35,0,0,26.288,1,0,0,1,1
3,18,0,1,14.454,0,1,0,0,0
3,25,0,0,7.742,1,0,1,0,0
3,26,1,0,7.854,1,0,0,1,0
2,39,0,0,26,1,0,0,1,0
2,45,0,0,13.5,0,0,0,1,1
1,42,0,0,26.288,1,0,0,1,1
1,22,0,0,151.55,0,0,0,1,1
3,28.344,1,1,15.246,1,1,0,0,1
1,24,0,0,49.504,0,1,0,0,1
1,30.626,0,0,26.55,1,0,0,1,0
1,48,1,0,52,1,0,0,1,1
3,29,0,0,9.483,1,0,0,1,0
2,52,0,0,13,1,0,0,1,0
3,19,0,0,7.65,1,0,0,1,0
1,38,0,0,227.525,0,1,0,0,1
2,27,0,0,10.5,0,0,0,1,1
3,30.626,0,0,15.5,1,0,1,0,0
3,33,0,0,7.775,1,0,0,1,0
2,6,0,1,33,0,0,0,1,1
3,17,1,0,7.054,1,0,0,1,0
2,34,0,0,13,1,0,0,1,0
2,50,0,0,13,1,0,0,1,0
1,27,1,0,53.1,1,0,0,1,1
3,20,0,0,8.662,1,0,0,1,0
2,30,3,0,21,0,0,0,1,1
3,28.344,0,0,7.737,0,0,1,0,1
2,25,1,0,26,1,0,0,1,0
3,25,1,0,7.925,0,0,0,1,0
1,29,0,0,211.338,0,0,0,1,1
3,11,0,0,18.788,1,1,0,0,0
2,30.626,0,0,0,1,0,0,1,0
2,23,0,0,13,1,0,0,1,0
2,23,0,0,13,1,0,0,1,0
3,28.5,0,0,16.1,1,0,0,1,0
3,48,1,3,34.375,0,0,0,1,0
1,35,0,0,512.329,1,1,0,0,1
3,30.626,0,0,7.896,1,0,0,1,0
3,30.626,0,0,7.896,1,0,0,1,0
1,28.344,0,0,30,1,0,0,1,1
1,36,1,0,78.85,1,0,0,1,0
1,21,2,2,262.375,0,1,0,0,1
3,24,1,0,16.1,1,0,0,1,0
3,31,0,0,7.925,1,0,0,1,1
1,70,1,1,71,1,0,0,1,0
3,16,1,1,20.25,1,0,0,1,0
2,30,0,0,13,0,0,0,1,1
1,19,1,0,53.1,1,0,0,1,0
3,31,0,0,7.75,1,0,1,0,0
2,4,1,1,23,0,0,0,1,1
3,6,0,1,12.475,1,0,0,1,1
3,33,0,0,9.5,1,0,0,1,0
3,23,0,0,7.896,1,0,0,1,0
2,48,1,2,65,0,0,0,1,1
2,0.67,1,1,14.5,1,0,0,1,1
3,28,0,0,7.796,1,0,0,1,0
2,18,0,0,11.5,1,0,0,1,0
3,34,0,0,8.05,1,0,0,1,0
1,33,0,0,86.5,0,0,0,1,1
3,30.626,0,0,14.5,1,0,0,1,0
3,41,0,0,7.125,1,0,0,1,0
3,20,0,0,7.229,1,1,0,0,1
1,36,1,2,120,0,0,0,1,1
3,16,0,0,7.775,1,0,0,1,0
1,51,1,0,77.958,0,0,0,1,1
1,30.626,0,0,39.6,1,1,0,0,0
3,30.5,0,0,7.75,0,0,1,0,0
3,30.626,1,0,24.15,1,0,1,0,0
3,32,0,0,8.363,1,0,0,1,0
3,24,0,0,9.5,1,0,0,1,0
3,48,0,0,7.854,1,0,0,1,0
2,57,0,0,10.5,0,0,0,1,0
3,30.626,0,0,7.225,1,1,0,0,0
2,54,1,3,23,0,0,0,1,1
3,18,0,0,7.75,1,0,0,1,0
3,30.626,0,0,7.75,1,0,1,0,0
3,5,0,0,12.475,0,0,0,1,1
3,30.626,0,0,7.737,1,0,1,0,0
1,43,0,1,211.338,0,0,0,1,1
3,13,0,0,7.229,0,1,0,0,1
1,17,1,0,57,0,0,0,1,1
1,29,0,0,30,1,0,0,1,0
3,30.626,1,2,23.45,1,0,0,1,0
3,25,0,0,7.05,1,0,0,1,0
3,25,0,0,7.25,1,0,0,1,0
3,18,0,0,7.496,0,0,0,1,1
3,8,4,1,29.125,1,0,1,0,0
3,1,1,2,20.575,1,0,0,1,1
1,46,0,0,79.2,1,1,0,0,0
3,30.626,0,0,7.75,1,0,1,0,0
2,16,0,0,26,1,0,0,1,0
3,30.626,8,2,69.55,0,0,0,1,0
1,30.626,0,0,30.696,1,1,0,0,0
3,25,0,0,7.896,1,0,0,1,0
2,39,0,0,13,1,0,0,1,0
1,49,0,0,25.929,0,0,0,1,1
3,31,0,0,8.683,0,0,0,1,1
3,30,0,0,7.229,1,1,0,0,0
3,30,1,1,24.15,0,0,0,1,0
2,34,0,0,13,1,0,0,1,0
2,31,1,1,26.25,0,0,0,1,1
1,11,1,2,120,1,0,0,1,1
3,0.42,0,1,8.517,1,1,0,0,1
3,27,0,0,6.975,1,0,0,1,1
3,31,0,0,7.775,1,0,0,1,0
1,39,0,0,0,1,0,0,1,0
3,18,0,0,7.775,0,0,0,1,0
2,39,0,0,13,1,0,0,1,0
1,33,1,0,53.1,0,0,0,1,1
3,26,0,0,7.888,1,0,0,1,0
3,39,0,0,24.15,1,0,0,1,0
2,35,0,0,10.5,1,0,0,1,0
3,6,4,2,31.275,0,0,0,1,0
3,30.5,0,0,8.05,1,0,0,1,0
1,30.626,0,0,0,1,0,0,1,0
3,23,0,0,7.925,0,0,0,1,0
2,31,1,1,37.004,1,1,0,0,0
3,43,0,0,6.45,1,0,0,1,0
3,10,3,2,27.9,1,0,0,1,0
1,52,1,1,93.5,0,0,0,1,1
3,27,0,0,8.662,1,0,0,1,1
1,38,0,0,0,1,0,0,1,0
3,27,0,1,12.475,0,0,0,1,1
3,2,4,1,39.688,1,0,0,1,0
3,30.626,0,0,6.95,1,0,1,0,0
3,30.626,0,0,56.496,1,0,0,1,0
2,1,0,2,37.004,1,1,0,0,1
3,28.344,0,0,7.75,1,0,1,0,1
1,62,0,0,80,0,0,0,0,1
3,15,1,0,14.454,0,1,0,0,1
2,0.83,1,1,18.75,1,0,0,1,1
3,30.626,0,0,7.229,1,1,0,0,0
3,23,0,0,7.854,1,0,0,1,0
3,18,0,0,8.3,1,0,0,1,0
1,39,1,1,83.158,0,1,0,0,1
3,21,0,0,8.662,1,0,0,1,0
3,30.626,0,0,8.05,1,0,0,1,0
3,32,0,0,56.496,1,0,0,1,1
1,28.344,0,0,29.7,1,1,0,0,1
3,20,0,0,7.925,1,0,0,1,0
2,16,0,0,10.5,1,0,0,1,0
1,30,0,0,31,0,1,0,0,1
3,34.5,0,0,6.438,1,1,0,0,0
3,17,0,0,8.662,1,0,0,1,0
3,42,0,0,7.55,1,0,0,1,0
3,30.626,8,2,69.55,1,0,0,1,0
3,35,0,0,7.896,1,1,0,0,0
2,28,0,1,33,1,0,0,1,0
1,28.344,1,0,89.104,0,1,0,0,1
3,4,4,2,31.275,1,0,0,1,0
3,74,0,0,7.775,1,0,0,1,0
3,9,1,1,15.246,0,1,0,0,0
1,16,0,1,39.4,0,0,0,1,1
2,44,1,0,26,0,0,0,1,0
3,18,0,1,9.35,0,0,0,1,1
1,45,1,1,164.867,0,0,0,1,1
1,51,0,0,26.55,1,0,0,1,1
3,24,0,3,19.258,0,1,0,0,1
3,30.626,0,0,7.229,1,1,0,0,0
3,41,2,0,14.108,1,0,0,1,0
2,21,1,0,11.5,1,0,0,1,0
1,48,0,0,25.929,0,0,0,1,1
3,30.626,8,2,69.55,0,0,0,1,0
2,24,0,0,13,1,0,0,1,0
2,42,0,0,13,0,0,0,1,1
2,27,1,0,13.858,0,1,0,0,1
1,31,0,0,50.496,1,0,0,1,0
3,30.626,0,0,9.5,1,0,0,1,0
3,4,1,1,11.133,1,0,0,1,1
3,26,0,0,7.896,1,0,0,1,0
1,47,1,1,52.554,0,0,0,1,1
1,33,0,0,5,1,0,0,1,0
3,47,0,0,9,1,0,0,1,0
2,28,1,0,24,0,1,0,0,1
3,15,0,0,7.225,0,1,0,0,1
3,20,0,0,9.846,1,0,0,1,0
3,19,0,0,7.896,1,0,0,1,0
3,30.626,0,0,7.896,1,0,0,1,0
1,56,0,1,83.158,0,1,0,0,1
2,25,0,1,26,0,0,0,1,1
3,33,0,0,7.896,1,0,0,1,0
3,22,0,0,10.517,0,0,0,1,0
2,28,0,0,10.5,1,0,0,1,0
3,25,0,0,7.05,1,0,0,1,0
3,39,0,5,29.125,0,0,1,0,0
2,27,0,0,13,1,0,0,1,0
1,19,0,0,30,0,0,0,1,1
3,30.626,1,2,23.45,0,0,0,1,0
1,26,0,0,30,1,1,0,0,1
3,32,0,0,7.75,1,0,1,0,0
